Palabra: foi ; Apariciones: 112
Palabra: foge ; Apariciones: 4
Palabra: frio ; Apariciones: 4
Palabra: fuja ; Apariciones: 4
Palabra: fallando ; Apariciones: 3
Palabra: familias ; Apariciones: 3
Palabra: folhagem ; Apariciones: 3
Palabra: fugitivo ; Apariciones: 3
Palabra: favores ; Apariciones: 3
Palabra: fazendo ; Apariciones: 3
Palabra: feicoes ; Apariciones: 3
Palabra: feridos ; Apariciones: 3
Palabra: formava ; Apariciones: 3
Palabra: formosa ; Apariciones: 3
Palabra: faisca ; Apariciones: 3
Palabra: feiras ; Apariciones: 3
Palabra: fervor ; Apariciones: 3
Palabra: ficava ; Apariciones: 3
Palabra: fiquei ; Apariciones: 3
Palabra: flauta ; Apariciones: 3
Palabra: fresta ; Apariciones: 3
Palabra: fugido ; Apariciones: 3
Palabra: farei ; Apariciones: 3
Palabra: ficam ; Apariciones: 3
Palabra: fieis ; Apariciones: 3
Palabra: funda ; Apariciones: 3
Palabra: furia ; Apariciones: 3
Palabra: faco ; Apariciones: 3
Palabra: feio ; Apariciones: 3
Palabra: fiel ; Apariciones: 3
Palabra: fujo ; Apariciones: 3
Palabra: formosissima ; Apariciones: 2
Palabra: fidalguinha ; Apariciones: 2
Palabra: felizmente ; Apariciones: 2
Palabra: frequentar ; Apariciones: 2
Palabra: frequentes ; Apariciones: 2
Palabra: fevereiro ; Apariciones: 2
Palabra: flautista ; Apariciones: 2
Palabra: formosura ; Apariciones: 2
Palabra: francisco ; Apariciones: 2
Palabra: freguezia ; Apariciones: 2
Palabra: fallarem ; Apariciones: 2
Palabra: faltavam ; Apariciones: 2
Palabra: fantasia ; Apariciones: 2
Palabra: fidalgas ; Apariciones: 2
Palabra: fidalgos ; Apariciones: 2
Palabra: fingindo ; Apariciones: 2
Palabra: fraqueza ; Apariciones: 2
Palabra: funestos ; Apariciones: 2
Palabra: fazerem ; Apariciones: 2
Palabra: fechado ; Apariciones: 2
Palabra: feridas ; Apariciones: 2
Palabra: ficaria ; Apariciones: 2
Palabra: ficasse ; Apariciones: 2
Palabra: finezas ; Apariciones: 2
Palabra: firmeza ; Apariciones: 2
Palabra: fitando ; Apariciones: 2
Palabra: formara ; Apariciones: 2
Palabra: formoso ; Apariciones: 2
Palabra: frenesi ; Apariciones: 2
Palabra: frigido ; Apariciones: 2
Palabra: fugirei ; Apariciones: 2
Palabra: furioso ; Apariciones: 2
Palabra: futuros ; Apariciones: 2
Palabra: farias ; Apariciones: 2
Palabra: feicao ; Apariciones: 2
Palabra: feitio ; Apariciones: 2
Palabra: feitos ; Apariciones: 2
Palabra: ferias ; Apariciones: 2
Palabra: ficara ; Apariciones: 2
Palabra: finaes ; Apariciones: 2
Palabra: fingiu ; Apariciones: 2
Palabra: fiquem ; Apariciones: 2
Palabra: fitava ; Apariciones: 2
Palabra: flamma ; Apariciones: 2
Palabra: folhas ; Apariciones: 2
Palabra: forcar ; Apariciones: 2
Palabra: fugira ; Apariciones: 2
Palabra: facto ; Apariciones: 2
Palabra: fanny ; Apariciones: 2
Palabra: fatal ; Apariciones: 2
Palabra: fayal ; Apariciones: 2
Palabra: fazel ; Apariciones: 2
Palabra: feira ; Apariciones: 2
Palabra: feras ; Apariciones: 2
Palabra: fonte ; Apariciones: 2
Palabra: frias ; Apariciones: 2
Palabra: frios ; Apariciones: 2
Palabra: frito ; Apariciones: 2
Palabra: fara ; Apariciones: 2
Palabra: fato ; Apariciones: 2
Palabra: feia ; Apariciones: 2
Palabra: fica ; Apariciones: 2
Palabra: fito ; Apariciones: 2
Palabra: fome ; Apariciones: 2
Palabra: frei ; Apariciones: 2
Palabra: fuga ; Apariciones: 2
Palabra: fel ; Apariciones: 2
Palabra: fie ; Apariciones: 2
Palabra: freneticamente ; Apariciones: 1
Palabra: franciscanos ; Apariciones: 1
Palabra: frequentasse ; Apariciones: 1
Palabra: furiosamente ; Apariciones: 1
Palabra: facultativo ; Apariciones: 1
Palabra: fidalguinho ; Apariciones: 1
Palabra: finalisavam ; Apariciones: 1
Palabra: formalmente ; Apariciones: 1
Palabra: fortalecido ; Apariciones: 1
Palabra: frequentado ; Apariciones: 1
Palabra: frequentava ; Apariciones: 1
Palabra: facilmente ; Apariciones: 1
Palabra: fallaremos ; Apariciones: 1
Palabra: fallatorio ; Apariciones: 1
Palabra: fallecesse ; Apariciones: 1
Palabra: falsamente ; Apariciones: 1
Palabra: fecundando ; Apariciones: 1
Palabra: ferocidade ; Apariciones: 1
Palabra: festejados ; Apariciones: 1
Palabra: festejavam ; Apariciones: 1
Palabra: filamentos ; Apariciones: 1
Palabra: fortalecel ; Apariciones: 1
Palabra: fracturada ; Apariciones: 1
Palabra: fulgurasse ; Apariciones: 1
Palabra: fabricara ; Apariciones: 1
Palabra: fallecida ; Apariciones: 1
Palabra: fallecido ; Apariciones: 1
Palabra: fascinada ; Apariciones: 1
Palabra: favoreceu ; Apariciones: 1
Palabra: fechadura ; Apariciones: 1
Palabra: ferrolhos ; Apariciones: 1
Palabra: fidalguia ; Apariciones: 1
Palabra: figuravam ; Apariciones: 1
Palabra: florestas ; Apariciones: 1
Palabra: folheando ; Apariciones: 1
Palabra: forcassem ; Apariciones: 1
Palabra: franqueza ; Apariciones: 1
Palabra: fraquinha ; Apariciones: 1
Palabra: frequenta ; Apariciones: 1
Palabra: frialdade ; Apariciones: 1
Palabra: fugitivos ; Apariciones: 1
Palabra: funileiro ; Apariciones: 1
Palabra: facanhas ; Apariciones: 1
Palabra: facecias ; Apariciones: 1
Palabra: fallaram ; Apariciones: 1
Palabra: fallarei ; Apariciones: 1
Palabra: fallasse ; Apariciones: 1
Palabra: fallavas ; Apariciones: 1
Palabra: fallecer ; Apariciones: 1
Palabra: faltasse ; Apariciones: 1
Palabra: fantasma ; Apariciones: 1
Palabra: fechadas ; Apariciones: 1
Palabra: fechando ; Apariciones: 1
Palabra: fecharam ; Apariciones: 1
Palabra: fecharia ; Apariciones: 1
Palabra: fechasse ; Apariciones: 1
Palabra: felicito ; Apariciones: 1
Palabra: ferragem ; Apariciones: 1
Palabra: ferrando ; Apariciones: 1
Palabra: ferreiro ; Apariciones: 1
Palabra: fervente ; Apariciones: 1
Palabra: ficasses ; Apariciones: 1
Palabra: filhinha ; Apariciones: 1
Palabra: fiquemos ; Apariciones: 1
Palabra: folgadas ; Apariciones: 1
Palabra: folgaria ; Apariciones: 1
Palabra: formosas ; Apariciones: 1
Palabra: franceza ; Apariciones: 1
Palabra: frenesis ; Apariciones: 1
Palabra: frontaes ; Apariciones: 1
Palabra: funccoes ; Apariciones: 1
Palabra: fundador ; Apariciones: 1
Palabra: fabrica ; Apariciones: 1
Palabra: facadas ; Apariciones: 1
Palabra: fachada ; Apariciones: 1
Palabra: fallece ; Apariciones: 1
Palabra: faltava ; Apariciones: 1
Palabra: famosos ; Apariciones: 1
Palabra: fechada ; Apariciones: 1
Palabra: ferrada ; Apariciones: 1
Palabra: festivo ; Apariciones: 1
Palabra: ficamos ; Apariciones: 1
Palabra: ficarao ; Apariciones: 1
Palabra: ficaras ; Apariciones: 1
Palabra: ficaste ; Apariciones: 1
Palabra: figurar ; Apariciones: 1
Palabra: fileira ; Apariciones: 1
Palabra: filippe ; Apariciones: 1
Palabra: finados ; Apariciones: 1
Palabra: fincava ; Apariciones: 1
Palabra: fivelas ; Apariciones: 1
Palabra: fixidez ; Apariciones: 1
Palabra: fizeste ; Apariciones: 1
Palabra: flautas ; Apariciones: 1
Palabra: folgava ; Apariciones: 1
Palabra: forcado ; Apariciones: 1
Palabra: forcara ; Apariciones: 1
Palabra: formada ; Apariciones: 1
Palabra: fornece ; Apariciones: 1
Palabra: froixos ; Apariciones: 1
Palabra: fructos ; Apariciones: 1
Palabra: fugindo ; Apariciones: 1
Palabra: funeral ; Apariciones: 1
Palabra: funesta ; Apariciones: 1
Palabra: fabula ; Apariciones: 1
Palabra: factos ; Apariciones: 1
Palabra: fadiga ; Apariciones: 1
Palabra: falece ; Apariciones: 1
Palabra: fallam ; Apariciones: 1
Palabra: fallas ; Apariciones: 1
Palabra: fallei ; Apariciones: 1
Palabra: falsas ; Apariciones: 1
Palabra: falsos ; Apariciones: 1
Palabra: faltam ; Apariciones: 1
Palabra: faltar ; Apariciones: 1
Palabra: faltas ; Apariciones: 1
Palabra: famoso ; Apariciones: 1
Palabra: fariam ; Apariciones: 1
Palabra: feirar ; Apariciones: 1
Palabra: fentos ; Apariciones: 1
Palabra: ferrar ; Apariciones: 1
Palabra: ferver ; Apariciones: 1
Palabra: fiavam ; Apariciones: 1
Palabra: ficado ; Apariciones: 1
Palabra: filtra ; Apariciones: 1
Palabra: findar ; Apariciones: 1
Palabra: fingia ; Apariciones: 1
Palabra: fingir ; Apariciones: 1
Palabra: fitara ; Apariciones: 1
Palabra: fixado ; Apariciones: 1
Palabra: flanco ; Apariciones: 1
Palabra: folego ; Apariciones: 1
Palabra: forcou ; Apariciones: 1
Palabra: formas ; Apariciones: 1
Palabra: fosses ; Apariciones: 1
Palabra: froixa ; Apariciones: 1
Palabra: froixo ; Apariciones: 1
Palabra: fronde ; Apariciones: 1
Palabra: fueiro ; Apariciones: 1
Palabra: fulgor ; Apariciones: 1
Palabra: fustao ; Apariciones: 1
Palabra: futura ; Apariciones: 1
Palabra: faces ; Apariciones: 1
Palabra: facil ; Apariciones: 1
Palabra: fadou ; Apariciones: 1
Palabra: fallo ; Apariciones: 1
Palabra: falsa ; Apariciones: 1
Palabra: farca ; Apariciones: 1
Palabra: farda ; Apariciones: 1
Palabra: farta ; Apariciones: 1
Palabra: farte ; Apariciones: 1
Palabra: favas ; Apariciones: 1
Palabra: feche ; Apariciones: 1
Palabra: fiara ; Apariciones: 1
Palabra: finge ; Apariciones: 1
Palabra: finos ; Apariciones: 1
Palabra: fital ; Apariciones: 1
Palabra: fitam ; Apariciones: 1
Palabra: fitas ; Apariciones: 1
Palabra: flato ; Apariciones: 1
Palabra: fllha ; Apariciones: 1
Palabra: fogem ; Apariciones: 1
Palabra: folgo ; Apariciones: 1
Palabra: folha ; Apariciones: 1
Palabra: force ; Apariciones: 1
Palabra: forem ; Apariciones: 1
Palabra: foste ; Apariciones: 1
Palabra: fraca ; Apariciones: 1
Palabra: fraco ; Apariciones: 1
Palabra: fugia ; Apariciones: 1
Palabra: fujas ; Apariciones: 1
Palabra: fundo ; Apariciones: 1
Palabra: furao ; Apariciones: 1
Palabra: furto ; Apariciones: 1
Palabra: fama ; Apariciones: 1
Palabra: faxa ; Apariciones: 1
Palabra: fcar ; Apariciones: 1
Palabra: fera ; Apariciones: 1
Palabra: fiar ; Apariciones: 1
Palabra: fino ; Apariciones: 1
Palabra: fins ; Apariciones: 1
Palabra: fios ; Apariciones: 1
Palabra: fria ; Apariciones: 1
Palabra: foz ; Apariciones: 1
Palabra: fr ; Apariciones: 1
